Date,High,Low,Open,Close,Volume,Adj Close
3/10/2021,2477.71,2446.33,2476.93,2458.48,4100406337.00,2458.48
3/14/2021,2467.20,2397.52,2466.26,2407.25,4952722195.00,2407.25
3/15/2021,2432.17,2380.16,2418.51,2389.19,4248424066.00,2389.19
3/16/2021,2416.84,2369.66,2400.04,2391.74,3375699339.00,2391.74
3/17/2021,2432.14,2390.42,2399.21,2432.14,3374552178.00,2432.14
3/18/2021,2476.36,2441.65,2448.72,2475.09,4661792187.00,2475.09
3/21/2021,2538.46,2492.90,2494.48,2538.46,5919824569.00,2538.46
3/22/2021,2568.07,2509.38,2564.07,2514.39,5351353625.00,2514.39
3/23/2021,2531.04,2496.38,2524.43,2528.95,5141897169.00,2528.95
3/24/2021,2570.26,2550.07,2550.07,2570.25,6674423941.00,2570.25
3/25/2021,2594.25,2544.15,2584.79,2548.97,6500806040.00,2548.97
3/29/2021,2562.03,2537.82,2558.23,2543.52,4410345030.00,2543.52
3/30/2021,2575.95,2545.54,2545.54,2575.67,6185679498.00,2575.67
3/31/2021,2619.02,2592.99,2596.66,2619.03,6166957318.00,2619.03
4/1/2021,2645.49,2615.43,2645.49,2631.89,7250924124.00,2631.89
4/4/2021,2658.55,2646.59,2658.30,2657.61,9006858558.00,2657.61
4/5/2021,2679.38,2681.76,2639.92,2658.74,7296760156.00,2658.74
4/6/2021,2675.57,2675.57,2642.17,2674.46,7477795738.00,2674.46
4/7/2021,2694.54,2694.54,2668.34,2671.61,7266972570.00,2671.61
4/8/2021,2690.12,2690.12,2672.48,2674.35,6556616680.00,2674.35
4/12/2021,2681.60,2693.70,2671.89,2691.55,7610828050.00,2691.55
4/13/2021,2698.07,2714.79,2688.48,2714.79,7143151000.00,2714.79
4/15/2021,2735.40,2755.00,2732.41,2735.46,8636668659.00,2735.46
4/18/2021,2759.89,2759.89,2697.88,2699.51,8801803215.00,2699.51
4/19/2021,2715.83,2716.18,2656.63,2661.93,6766801224.00,2661.93
4/20/2021,2673.24,2684.55,2646.43,2664.61,5538617640.00,2664.61
4/21/2021,2674.82,2674.82,2625.92,2632.20,5772251203.00,2632.20
4/22/2021,2647.11,2650.14,2609.75,2648.00,5915139888.00,2648.00
4/25/2021,2664.69,2664.70,2564.43,2572.22,7284194901.00,2572.22
4/26/2021,2571.49,2579.18,2501.38,2506.61,6590928202.00,2506.61
4/27/2021,2506.52,2599.08,2506.52,2599.07,5109096957.00,2599.07
4/28/2021,2606.56,2622.43,2564.73,2585.28,3990431236.00,2585.28
4/29/2021,2601.21,2611.37,2583.18,2611.10,4357019249.00,2611.10
5/2/2021,2627.81,2665.10,2611.03,2665.11,7360800500.00,2665.11
5/3/2021,2676.45,2692.89,2645.80,2652.75,7529290146.00,2652.75
5/4/2021,2652.27,2663.39,2640.63,2654.69,6052236811.00,2654.69
5/5/2021,2675.95,2675.95,2648.74,2649.60,6216814313.00,2649.60
5/6/2021,2658.69,2658.69,2626.38,2637.13,6810091453.00,2637.13
5/9/2021,2652.58,2652.58,2613.78,2618.56,6148966772.00,2618.56
5/10/2021,2613.17,2646.76,2608.13,2645.85,4203832789.00,2645.85
5/11/2021,2647.48,2680.62,2645.77,2673.32,5810673071.00,2673.32
5/12/2021,2685.40,2687.34,2664.32,2673.88,5326052801.00,2673.88
5/13/2021,2701.82,2701.82,2679.18,2684.01,7126885280.00,2684.01
5/16/2021,2693.90,2738.29,2693.90,2738.29,10026628116.00,2738.29
5/17/2021,2748.83,2770.86,2748.04,2759.21,9576361139.00,2759.21
5/18/2021,2780.70,2794.28,2767.25,2793.89,11359360092.00,2793.89
5/19/2021,2816.26,2821.86,2769.72,2780.81,11958097411.00,2780.81
5/20/2021,2807.52,2807.52,2776.17,2787.18,9305222004.00,2787.18
5/23/2021,2768.86,2820.00,2738.70,2820.00,11695034728.00,2820.00
5/24/2021,2840.21,2850.55,2807.95,2823.06,13175353188.00,2823.06
